Month,Materials,"Stone, sand and gravel",Sand and gravel,Stone,Cement,Ready mixed mortar and concrete,Concrete blocks and bricks,Other concrete products including precast,Other concrete products (excluding precast concrete),Precast concrete,Structural steel and reinforcing metal,Structural steel,Other structural steel,Structural steel fabricated metal,Reinforcing metal,Other steel products,Rough timber (including plain sawn),Rough timber (softwood),Rough timber (hardwood),"Machined, treated engineered timber",Other treated timber,Wooden windows and doors,"Bituminous macadam, asphalt and bituminous emulsions",Bituminous macadam and asphalt,Bituminous emulsions,Electrical fittings,Lighting equipment,Protection and communication equipment,All other materials,Plumbing materials including sanitary ware,HVAC (heating and ventilation equipment),Insulating materials,Pipes and fittings,PVC pipes and fittings,Copper pipes and fittings,Plaster,"Paints, oils and varnishes",Glass,All other metal fittings,All other products
2015 January,99.2,95.7,98.0,95.3,100.0,101.6,100.2,99.2,99.4,98.6,98.8,97.6,100.3,97.3,100.7,98.1,99.5,99.9,96.6,102.1,104.7,99.9,99.7,99.6,102.3,98.5,96.0,99.1,99.2,98.9,99.7,99.7,98.4,97.6,98.7,98.4,100.7,100.0,99.2,99.3
2015 February,99.0,93.9,96.1,93.5,100.0,100.4,100.6,99.3,99.4,98.8,98.9,97.7,100.3,97.3,100.9,98.1,99.9,99.9,100.3,102.1,104.7,99.9,95.1,94.8,101.6,98.7,96.0,100.1,99.1,98.8,99.7,99.7,98.6,98.4,98.7,98.4,100.7,100.0,99.2,99.1
2015 March,99.5,98.1,97.5,98.2,100.0,100.1,99.0,99.3,99.4,98.8,99.2,98.1,100.3,97.9,100.8,100.4,100.0,99.9,100.3,102.2,104.7,100.0,101.9,101.8,104.0,99.7,100.8,100.1,99.4,98.8,99.7,99.7,99.2,100.4,98.8,98.4,100.6,100.0,99.2,99.4
2015 April,99.8,99.9,106.2,98.7,100.0,99.8,99.3,99.3,99.4,98.8,99.9,99.4,100.3,99.3,100.6,100.4,100.0,99.9,100.3,102.2,104.7,100.0,96.3,96.1,101.5,99.7,100.8,100.1,99.8,98.8,99.7,99.7,101.0,100.4,101.2,99.5,99.2,100.0,99.6,99.5
2015 May,100.2,100.5,103.1,100.0,100.0,99.6,99.4,99.7,99.4,100.0,99.8,99.4,99.9,99.3,100.4,100.4,100.0,99.9,100.3,102.2,104.7,100.0,102.8,102.8,102.5,100.3,100.8,100.1,100.4,100.8,99.9,99.7,101.2,100.4,101.4,99.6,99.2,100.0,99.6,100.3
2015 June,100.6,103.7,100.3,104.3,100.0,100.4,100.3,99.7,99.4,100.0,99.9,99.5,99.9,99.4,100.5,100.4,100.0,99.9,100.3,102.2,104.7,100.0,101.9,101.8,103.5,100.3,100.8,100.1,100.4,100.8,99.9,99.7,101.1,100.4,101.3,100.5,99.2,100.0,99.6,100.3
2015 July,100.4,103.0,100.1,103.6,100.0,100.0,101.0,100.4,100.6,100.0,100.7,101.2,99.9,101.4,100.0,100.4,100.1,100.1,100.3,97.8,95.3,100.0,100.5,100.5,103.1,100.3,100.8,100.1,100.1,100.8,99.9,99.7,100.4,100.4,100.3,100.2,99.2,100.0,99.6,100.1
2015 August,100.4,102.8,99.7,103.4,100.0,99.9,100.4,100.4,100.6,100.0,100.7,101.2,99.8,101.4,100.0,100.4,100.1,100.1,100.3,97.8,95.3,100.0,100.4,100.4,100.1,100.3,100.8,100.1,100.3,100.8,99.9,100.6,100.4,100.4,100.3,101.1,99.2,100.0,99.6,100.3
2015 September,100.3,101.9,98.6,102.5,100.0,99.6,100.4,100.7,100.6,101.2,100.7,101.2,99.8,101.4,99.9,100.4,100.1,100.1,100.3,97.8,95.3,100.0,100.2,100.3,96.8,100.5,100.8,100.1,100.1,100.4,99.9,100.6,100.4,100.4,100.3,101.1,99.2,100.0,99.6,99.9
2015 October,100.0,101.2,103.8,100.7,100.0,97.7,99.9,100.7,100.6,101.2,100.4,101.4,99.7,101.6,98.9,100.4,100.1,100.1,100.3,97.8,95.3,100.0,99.5,99.6,95.0,100.6,100.8,100.1,100.4,100.4,100.6,100.2,99.9,100.4,99.8,100.6,101.0,100.0,100.3,100.6
